Book Name:,Author,Genre - Theme - Type,Status:,Rating,Review,Total Pages,Pages Read,Date Started,Date Finished,Reading Time,ISBN,Cover URL
Mexican Gothic,Silvia Moreno-Garcia,Dark - Mysterious - Suspense,Did Not Finish,0,,0,0,,,0,,
I Fell in Love with Hope,Lancali,Moving - Romance,Did Not Finish,0,,0,0,,,0,,
Hunted,Darcy Coates,Thriller - Suspense - Dark,Did Not Finish,0,,0,0,,,0,,
Anatomy: A Love Story,Dana Schwartz,Mysterious - Romance,Did Not Finish,0,,0,0,,,0,,
Scott Pilgrim Volume 3,Bryan Lee O'Malley,Feel good - Funny- Comic,Did Not Finish,0,,0,0,,,0,,
